Number,Gridid,HBlon,HBlat,location,road_name,road_level,road_distance,live_distance,a1,a2,a3,pop,Class
34,"[17, 6, -11]",121.1957982,31.25443412,10,宝丰西路,3,205.787,0,1,0,0,1.12225893,0
37,"[23, 9, -14]",121.2021117,31.25443412,10,宝丰路,3,69.9857,0,1,0,0,1.12225893,0
38,"[25, 10, -15]",121.2042162,31.25443412,10,宝丰路,3,27.8638,0,0,1,0,1.12225893,0
63,"[12, 2, -10]",121.190537,31.25599179,10,安智路,2,148.129,737.86,0.5,0.5,0,1.12225893,0
64,"[14, 3, -11]",121.1926415,31.25599179,10,安智路,2,110.464,799.474,0,1,0,1.12225893,0
67,"[20, 6, -14]",121.198955,31.25599179,10,邓家角村路,3,23.1269,0,0,1,0,1.12225893,0
68,"[22, 7, -15]",121.2010595,31.25599179,10,邓家角村路,3,140.493,0,0.5,0.5,0,1.12225893,0
100,"[21, 5, -16]",121.2000072,31.25754946,10,邓家角村路,3,59.6126,0,0.125,0.375,0.5,1.12225893,0
107,"[35, 12, -23]",121.2147387,31.25754946,18,宝丰路,3,16.6539,0,0,1,0,1.3465355,0
111,"[43, 16, -27]",121.2231567,31.25754946,18,千秋桥路,3,195.86,203.985,0,1,0,1.3465355,0
129,"[10, -2, -12]",121.1884325,31.25910713,10,安智路,2,62.5018,659.805,1,0,0,1.12225893,0
135,"[22, 4, -18]",121.2010595,31.25910713,9,邓家角村路,3,115.578,0,0.5,0.5,0,1.952919162,0
136,"[24, 5, -19]",121.203164,31.25910713,9,邓家角村路,3,31.8681,0,1,0,0,1.952919162,0
138,"[28, 7, -21]",121.207373,31.25910713,9,嘉松北路,2,17.363,0,0,1,0,1.952919162,0
139,"[30, 8, -22]",121.2094775,31.25910713,9,嘉松北路,2,179.63,0,0,1,0,1.952919162,0
142,"[36, 11, -25]",121.215791,31.25910713,18,华浦路,3,109.284,433.726,0,1,0,1.3465355,0
166,"[11, -3, -14]",121.1894847,31.2606648,10,安智路,2,79.1299,460.317,0,1,0,1.12225893,0
169,"[17, 0, -17]",121.1957982,31.2606648,9,安智路,2,269.087,505.736,1,0,0,1.952919162,0
172,"[23, 3, -20]",121.2021117,31.2606648,9,开发路,3,87.3138,443.766,0,1,0,1.952919162,0
173,"[25, 4, -21]",121.2042162,31.2606648,9,邓家角村路,3,87.4392,355.181,0.666666667,0.333333333,0,1.952919162,0
175,"[29, 6, -23]",121.2084252,31.2606648,13,嘉松北路,2,199.294,0,1,0,0,2.550954341,0
176,"[31, 7, -24]",121.2105297,31.2606648,18,博园路,2,132.729,0,0,1,0,1.3465355,0
177,"[33, 8, -25]",121.2126342,31.2606648,18,博园路,2,95.2952,0,0,0.75,0.25,1.3465355,0
178,"[35, 9, -26]",121.2147387,31.2606648,18,博园路,2,98.7782,383.164,0,1,0,1.3465355,0
206,"[14, -3, -17]",121.1926415,31.26222246,9,安智路,2,27.9786,207.45,0,0.5,0.5,1.952919162,0
210,"[22, 1, -21]",121.2010595,31.26222246,9,新黄路,3,14.8615,414.966,0.222222222,0.111111111,0.666666667,1.952919162,0
212,"[26, 3, -23]",121.2052685,31.26222246,9,嘉松北路,2,45.9625,175.072,1,0,0,1.952919162,0
214,"[30, 5, -25]",121.2094775,31.26222246,13,博园路,2,19.9655,399.155,0,0.5,0.5,2.550954341,0
215,"[32, 6, -26]",121.211582,31.26222246,18,博园路,2,54.7796,268.542,0,0.5,0.5,1.3465355,0
217,"[36, 8, -28]",121.215791,31.26222246,18,文化街,3,36.2243,229.944,0.125,0,0.875,1.3465355,0
218,"[38, 9, -29]",121.2178955,31.26222246,18,钱家村路,3,6.81009,103.854,0.5,0.5,0,1.3465355,0
219,"[40, 10, -30]",121.22,31.26222246,18,东港路,3,110.061,108.14,0,1,0,1.3465355,0
229,"[60, 20, -40]",121.241045,31.26222246,26,博园路,2,273.836,0,1,0,0,1.415405553,0
233,"[68, 24, -44]",121.249463,31.26222246,27,博园路,2,37.067,463.678,0.5,0,0.5,2.502350299,0
234,"[70, 25, -45]",121.2515675,31.26222246,27,博园路,2,2.02179,542.42,0,0.333333333,0.666666667,2.502350299,0
